,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height,weight,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
0,1,Bulbasaur,1,Normal,Seed Pokémon,2,Grass, Poison,0.7112,6.905340000000001,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45.0,70.0,64.0,Medium Slow,2,Grass, Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,2,Ivysaur,1,Normal,Seed Pokémon,2,Grass, Poison,0.9906000000000001,13.01164,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45.0,70.0,142.0,Medium Slow,2,Grass, Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,3,Venusaur,1,Normal,Seed Pokémon,2,Grass, Poison,2.0066,100.08884,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45.0,70.0,236.0,Medium Slow,2,Grass, Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,3,Mega Venusaur,1,Normal,Seed Pokémon,2,Grass, Poison,2.3876,155.64028,1,Thick Fat,,,625,80,100,123,122,120,80,45.0,70.0,281.0,Medium Slow,2,Grass, Monster,87.5,20.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,4,Charmander,1,Normal,Lizard Pokémon,1,Fire,,0.6096,8.507959999999999,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45.0,70.0,62.0,Medium Slow,2,Dragon, Monster,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,5,Charmeleon,1,Normal,Flame Pokémon,1,Fire,,1.0922,19.018060000000002,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45.0,70.0,142.0,Medium Slow,2,Dragon, Monster,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,6,Charizard,1,Normal,Flame Pokémon,2,Fire, Flying,1.7018,90.58208,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45.0,70.0,240.0,Medium Slow,2,Dragon, Monster,87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,6,Mega Charizard X,1,Normal,Flame Pokémon,2,Fire, Dragon,1.7018,110.59894000000001,1,Tough Claws,,,634,78,130,111,130,85,100,45.0,70.0,285.0,Medium Slow,2,Dragon, Monster,87.5,20.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
8,6,Mega Charizard Y,1,Normal,Flame Pokémon,2,Fire, Flying,1.7018,100.58824,1,Drought,,,634,78,104,78,159,115,100,45.0,70.0,285.0,Medium Slow,2,Dragon, Monster,87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
9,7,Squirtle,1,Normal,Tiny Turtle Pokémon,1,Water,,0.508,9.00736,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45.0,70.0,63.0,Medium Slow,2,Monster, Water 1,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,8,Wartortle,1,Normal,Turtle Pokémon,1,Water,,0.9906000000000001,22.5184,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45.0,70.0,142.0,Medium Slow,2,Monster, Water 1,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,9,Blastoise,1,Normal,Shellfish Pokémon,1,Water,,1.6002,85.57900000000001,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45.0,70.0,239.0,Medium Slow,2,Monster, Water 1,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
12,9,Mega Blastoise,1,Normal,Shellfish Pokémon,1,Water,,1.6002,101.19206,1,Mega Launcher,,,630,79,103,120,135,115,78,45.0,70.0,284.0,Medium Slow,2,Monster, Water 1,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
13,10,Caterpie,1,Normal,Worm Pokémon,1,Bug,,0.3048,2.9010599999999998,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255.0,70.0,39.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
14,11,Metapod,1,Normal,Cocoon Pokémon,1,Bug,,0.7112,9.91082,1,Shed Skin,,,205,50,20,55,25,25,30,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
15,12,Butterfree,1,Normal,Butterfly Pokémon,2,Bug, Flying,1.0922,32.0297,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,13,Weedle,1,Normal,Hairy Bug Pokémon,2,Bug, Poison,0.3048,3.2007,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255.0,70.0,39.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,14,Kakuna,1,Normal,Cocoon Pokémon,2,Bug, Poison,0.6096,10.0107,1,Shed Skin,,,205,45,25,50,25,25,35,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,15,Beedrill,1,Normal,Poison Bee Pokémon,2,Bug, Poison,0.9906000000000001,29.528160000000003,2,Swarm,,Sniper,395,65,90,40,45,80,75,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
19,15,Mega Beedrill,1,Normal,Poison Bee Pokémon,2,Bug, Poison,1.397,40.53766,1,Adaptability,,,495,65,150,40,15,80,145,45.0,70.0,223.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
20,16,Pidgey,1,Normal,Tiny Bird Pokémon,2,Normal, Flying,0.3048,1.80238,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255.0,70.0,50.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
